kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 63 : 3072 18624 0 0 0 0 0 0 0 
_1.ptx 64 : 3072 50496 0 0 0 0 0 0 0 
_1.ptx 65 : 3072 20544 0 0 0 0 0 0 0 
_1.ptx 66 : 3072 33792 0 0 0 0 0 0 0 
_1.ptx 67 : 3072 839808 128 0 0 0 0 0 0 
_1.ptx 68 : 3072 25536 0 0 0 0 0 0 0 
_1.ptx 69 : 3072 0 0 0 0 0 0 0 0 
_1.ptx 71 : 3072 23008 0 0 0 0 0 0 0 
_1.ptx 72 : 3072 33056 0 0 0 0 0 0 0 
_1.ptx 73 : 3072 9856 0 0 0 0 0 0 0 
_1.ptx 74 : 3072 34496 0 0 0 0 0 0 0 
_1.ptx 75 : 3072 1005152 12288 0 0 96 96 0 0 
_1.ptx 77 : 3072 11744 0 0 0 0 0 0 0 
_1.ptx 78 : 3072 34304 0 0 0 0 0 0 0 
_1.ptx 79 : 3072 1232448 12288 0 0 96 96 0 0 
_1.ptx 81 : 3072 33792 0 0 0 0 0 0 0 
_1.ptx 82 : 3072 28352 0 0 0 0 0 0 0 
_1.ptx 83 : 3072 9536 0 0 0 0 0 0 0 
_1.ptx 84 : 3072 34432 0 0 0 0 0 0 0 
_1.ptx 85 : 3072 18240 12288 0 0 96 96 0 0 
_1.ptx 88 : 3072 18976 0 0 0 0 0 0 0 
_1.ptx 111 : 98304 14147712 0 0 0 0 0 0 0 
_1.ptx 113 : 98304 594912 0 0 0 0 0 0 0 
_1.ptx 114 : 98304 601856 0 0 0 0 0 0 0 
_1.ptx 115 : 98304 1923936 0 0 0 0 0 0 0 
_1.ptx 116 : 98304 1143904 0 0 0 0 0 0 0 
_1.ptx 117 : 98304 824544 0 0 0 0 0 0 0 
_1.ptx 118 : 98304 2110880 0 0 0 0 0 0 0 
_1.ptx 119 : 98304 2102784 0 0 0 0 0 0 0 
_1.ptx 120 : 98304 1098208 0 0 0 0 0 0 0 
_1.ptx 121 : 98304 27816608 137728 0 0 3072 3072 0 0 
_1.ptx 123 : 98304 360576 0 0 0 0 0 0 0 
_1.ptx 124 : 98304 1091776 0 0 0 0 0 0 0 
_1.ptx 125 : 98304 30612736 140544 0 0 3072 3072 0 0 
_1.ptx 944 : 50331648 349208352 0 0 0 0 0 0 0 
_1.ptx 945 : 50331648 591459872 0 0 0 0 0 0 0 
_1.ptx 127 : 98304 1165248 0 0 0 0 0 0 0 
_1.ptx 946 : 50331648 426821568 0 0 0 0 0 0 0 
_1.ptx 128 : 98304 1099136 0 0 0 0 0 0 0 
_1.ptx 947 : 50331648 418267360 0 0 0 0 0 0 0 
_1.ptx 129 : 98304 29923744 136448 0 0 3072 3072 0 0 
_1.ptx 949 : 50331648 424760000 0 0 0 0 0 0 0 
_1.ptx 131 : 98304 1498880 0 0 0 0 0 0 0 
_1.ptx 950 : 50331648 426448192 0 0 0 0 0 0 0 
_1.ptx 132 : 98304 1098144 0 0 0 0 0 0 0 
_1.ptx 1360 : 50331648 344316416 0 0 0 0 0 0 0 
_1.ptx 951 : 50331648 371293056 0 0 0 0 0 0 0 
_1.ptx 133 : 98304 29742752 135680 0 0 3072 3072 0 0 
_1.ptx 1361 : 50331648 590800768 0 0 0 0 0 0 0 
_1.ptx 952 : 50331648 376242496 0 0 0 0 0 0 0 
_1.ptx 1362 : 50331648 418283936 0 0 0 0 0 0 0 
_1.ptx 953 : 50331648 357195008 0 0 0 0 0 0 0 
_1.ptx 135 : 98304 1591168 0 0 0 0 0 0 0 
_1.ptx 1363 : 50331648 418379200 0 0 0 0 0 0 0 
_1.ptx 954 : 50331648 484547904 0 0 0 0 0 0 0 
_1.ptx 136 : 98304 1095616 0 0 0 0 0 0 0 
_1.ptx 955 : 50331648 485712384 0 0 0 0 0 0 0 
_1.ptx 137 : 98304 29967424 137600 0 0 3072 3072 0 0 
_1.ptx 1365 : 50331648 423179872 0 0 0 0 0 0 0 
_1.ptx 956 : 50331648 482109920 0 0 0 0 0 0 0 
_1.ptx 138 : 98304 1581728 0 0 0 0 0 0 0 
_1.ptx 1366 : 50331648 429829824 0 0 0 0 0 0 0 
_1.ptx 139 : 98304 717408 0 0 0 0 0 0 0 
_1.ptx 1367 : 50331648 370720896 0 0 0 0 0 0 0 
_1.ptx 140 : 98304 612608 0 0 0 0 0 0 0 
_1.ptx 1368 : 50331648 377281760 0 0 0 0 0 0 0 
_1.ptx 959 : 50331648 412786208 0 0 0 0 0 0 0 
_1.ptx 141 : 98304 802592 0 0 0 0 0 0 0 
_1.ptx 1369 : 50331648 357176000 0 0 0 0 0 0 0 
_1.ptx 960 : 50331648 597865888 0 0 0 0 0 0 0 
_1.ptx 142 : 98304 608064 0 0 0 0 0 0 0 
_1.ptx 1370 : 50331648 484068256 0 0 0 0 0 0 0 
_1.ptx 961 : 50331648 441524480 0 0 0 0 0 0 0 
_1.ptx 1371 : 50331648 485214880 0 0 0 0 0 0 0 
_1.ptx 962 : 50331648 385571680 0 0 0 0 0 0 0 
_1.ptx 1372 : 50331648 485089728 0 0 0 0 0 0 0 
_1.ptx 963 : 50331648 445721312 0 0 0 0 0 0 0 
_1.ptx 964 : 50331648 184738553 0 0 0 0 0 0 1521270 
_1.ptx 966 : 24341529 177181864 0 0 0 0 0 0 0 
_1.ptx 1375 : 50331648 413544480 0 0 0 0 0 0 0 
_1.ptx 967 : 24341529 178975194 0 0 0 0 0 0 0 
_1.ptx 1376 : 50331648 600607904 0 0 0 0 0 0 0 
_1.ptx 968 : 24341529 233532662 0 0 0 0 0 0 0 
_1.ptx 1377 : 50331648 443075680 0 0 0 0 0 0 0 
_1.ptx 969 : 24341529 166572550 0 0 0 0 0 0 0 
_1.ptx 1378 : 50331648 386296000 0 0 0 0 0 0 0 
_1.ptx 970 : 24341529 232358076 0 0 0 0 0 0 0 
_1.ptx 1379 : 50331648 445956896 0 0 0 0 0 0 0 
_1.ptx 971 : 24341529 164646950 0 0 0 0 0 0 0 
_1.ptx 1380 : 50331648 185383042 0 0 0 0 0 0 1522915 
_1.ptx 972 : 24341529 230025194 0 0 0 0 0 0 0 
_1.ptx 1382 : 24445459 178847206 0 0 0 0 0 0 0 
_1.ptx 973 : 24341529 162883475 0 0 0 0 0 0 0 
_1.ptx 1383 : 24445459 180712885 0 0 0 0 0 0 0 
_1.ptx 974 : 24341529 227860614 0 0 0 0 0 0 0 
_1.ptx 1384 : 24445459 235444727 0 0 0 0 0 0 0 
_1.ptx 975 : 24341529 161418761 0 0 0 0 0 0 0 
_1.ptx 1385 : 24445459 168265703 0 0 0 0 0 0 0 
_1.ptx 1386 : 24445459 234942677 0 0 0 0 0 0 0 
_1.ptx 1387 : 24445459 167412504 0 0 0 0 0 0 0 
_1.ptx 978 : 25990119 189646351 0 0 0 0 0 0 0 
_1.ptx 1388 : 24445459 232867345 0 0 0 0 0 0 0 
_1.ptx 979 : 25990119 191047875 0 0 0 0 0 0 0 
_1.ptx 570 : 98304 612096 0 0 0 0 0 0 0 
_1.ptx 1389 : 24445459 165764068 0 0 0 0 0 0 0 
_1.ptx 980 : 25990119 257684943 0 0 0 0 0 0 0 
_1.ptx 571 : 98304 617984 0 0 0 0 0 0 0 
_1.ptx 1390 : 24445459 230686535 0 0 0 0 0 0 0 
_1.ptx 981 : 25990119 179756586 0 0 0 0 0 0 0 
_1.ptx 572 : 98304 617376 0 0 0 0 0 0 0 
_1.ptx 1391 : 24445459 165087234 0 0 0 0 0 0 0 
_1.ptx 982 : 25990119 256230162 0 0 0 0 0 0 0 
_1.ptx 573 : 98304 623168 0 0 0 0 0 0 0 
_1.ptx 983 : 25990119 307149327 0 0 0 0 0 0 0 
_1.ptx 984 : 25990119 256198332 0 0 0 0 0 0 0 
_1.ptx 1394 : 25886189 188829063 0 0 0 0 0 0 0 
_1.ptx 576 : 98304 615328 0 0 0 0 0 0 0 
_1.ptx 1395 : 25886189 190437684 0 0 0 0 0 0 0 
_1.ptx 577 : 98304 807648 0 0 0 0 0 0 0 
_1.ptx 1396 : 25886189 257261031 0 0 0 0 0 0 0 
_1.ptx 987 : 50331648 390030400 0 0 0 0 0 0 0 
_1.ptx 578 : 98304 0 0 0 0 0 0 0 0 
_1.ptx 1397 : 25886189 177668950 0 0 0 0 0 0 0 
_1.ptx 988 : 50331648 396456512 0 0 0 0 0 0 0 
_1.ptx 579 : 98304 807744 0 0 0 0 0 0 0 
_1.ptx 1398 : 25886189 250685256 0 0 0 0 0 0 0 
_1.ptx 989 : 50331648 335282816 0 0 0 0 0 0 0 
_1.ptx 580 : 98304 0 0 0 0 0 0 0 0 
_1.ptx 1399 : 25886189 305142884 0 0 0 0 0 0 0 
_1.ptx 990 : 50331648 427869184 0 0 0 0 0 0 0 
_1.ptx 1400 : 25886189 255779211 0 0 0 0 0 0 0 
_1.ptx 991 : 50331648 472162656 0 0 0 0 0 0 0 
_1.ptx 582 : 50331648 337608768 0 0 0 0 0 0 0 
_1.ptx 992 : 50331648 329493632 0 0 0 0 0 0 0 
_1.ptx 583 : 50331648 399754080 0 0 0 0 0 0 0 
_1.ptx 993 : 50331648 428313568 0 0 0 0 0 0 0 
_1.ptx 584 : 50331648 815989920 0 0 0 0 0 0 0 
_1.ptx 1403 : 50331648 400571712 0 0 0 0 0 0 0 
_1.ptx 994 : 50331648 335607105 0 0 0 0 0 0 3817 
_1.ptx 585 : 50331648 570482976 0 0 0 0 0 0 0 
_1.ptx 1404 : 50331648 408514464 0 0 0 0 0 0 0 
_1.ptx 586 : 50331648 1818224768 16384 0 0 0 0 0 0 
_1.ptx 1405 : 50331648 348885824 0 0 0 0 0 0 0 
_1.ptx 587 : 50331648 1733875264 0 0 0 0 0 0 0 
_1.ptx 996 : 429801 3106147 0 0 0 0 0 0 0 
_1.ptx 1406 : 50331648 428229056 0 0 0 0 0 0 0 
_1.ptx 588 : 50331648 1134470368 0 0 0 0 0 0 0 
_1.ptx 997 : 429801 5104352 0 0 0 0 0 0 0 
_1.ptx 1407 : 50331648 479426912 0 0 0 0 0 0 0 
_1.ptx 589 : 50331648 590078400 0 0 0 0 0 0 0 
_1.ptx 1408 : 50331648 346673920 0 0 0 0 0 0 0 
_1.ptx 590 : 50331648 487658464 0 0 0 0 0 0 0 
_1.ptx 1409 : 50331648 435700032 0 0 0 0 0 0 0 
_1.ptx 591 : 50331648 490548800 0 0 0 0 0 0 0 
_1.ptx 1000 : 50331648 463223712 0 0 0 0 0 0 0 
_1.ptx 1410 : 50331648 344194916 0 0 0 0 0 0 3892 
_1.ptx 592 : 50331648 360283008 0 0 0 0 0 0 0 
_1.ptx 593 : 50331648 596998784 0 0 0 0 0 0 0 
_1.ptx 1002 : 50331648 216935616 0 0 0 0 0 0 0 
_1.ptx 1412 : 3892 27023 0 0 0 0 0 0 0 
_1.ptx 594 : 50331648 416200544 0 0 0 0 0 0 0 
